fill	x	y	showSelected1
#66C2A5	1	-0.689099191816566	subtrain
#FC8D62	2	-0.608089478320124	validation
#FC8D62	3	-0.710016671983337	validation
#66C2A5	4	-0.466925730528553	subtrain
#FC8D62	5	-0.593503033560796	validation
#FC8D62	6	-0.708500649154134	validation
#66C2A5	7	-0.577710905499484	subtrain
#66C2A5	8	-0.552621340229411	subtrain
#FC8D62	9	-0.568875675576983	validation
#FC8D62	10	-0.656992649457968	validation
#FC8D62	11	0.334821441067167	validation
#66C2A5	12	0.222627647863225	subtrain
#FC8D62	13	0.121519266167902	validation
#FC8D62	14	-0.0378266644956678	validation
#FC8D62	15	0.296136416036393	validation
#66C2A5	16	0.179149963320559	subtrain
#FC8D62	17	0.182024297912188	validation
#FC8D62	18	0.278026945290612	validation
#66C2A5	19	0.265765443731891	subtrain
#66C2A5	20	0.243033456343833	subtrain
#66C2A5	21	-0.743730875249225	subtrain
#66C2A5	22	-0.757414982336941	subtrain
#FC8D62	23	-0.828172114073528	validation
#66C2A5	24	-1.03456378199638	subtrain
#FC8D62	25	-0.773646037620576	validation
#66C2A5	26	-0.841241486362947	subtrain
#FC8D62	27	-0.85120816308058	validation
#FC8D62	28	-0.982703850799975	validation
#FC8D62	29	-0.883443617920909	validation
#66C2A5	30	-0.793834456390077	subtrain
#66C2A5	31	1.7311487572907	subtrain
#66C2A5	32	1.58500202940349	subtrain
#66C2A5	33	1.63404796329373	subtrain
#FC8D62	34	1.5899002980795	validation
#FC8D62	35	1.45757484645493	validation
#66C2A5	36	1.55378134580782	subtrain
#FC8D62	37	1.55585180676676	validation
#FC8D62	38	1.58934946246667	validation
#66C2A5	39	1.70528333933618	subtrain
#66C2A5	40	1.67159837698355	subtrain
#66C2A5	41	0.313055412190002	subtrain
#FC8D62	42	0.30417160380171	validation
#66C2A5	43	0.399204109355834	subtrain
#66C2A5	44	0.385174091682726	subtrain
#66C2A5	45	0.260632202360409	subtrain
#FC8D62	46	0.258758256119149	validation
#FC8D62	47	0.365965968029044	validation
#66C2A5	48	0.406361064266902	subtrain
#FC8D62	49	0.318273150600338	validation
#66C2A5	50	0.417618544460782	subtrain
